"";"area"
"Moenkhausia.collettii";260180
"Moenkhausia.comma";244845
"Moenkhausia.copei";116079
"Moenkhausia.cotinho";122677
"Moenkhausia.dichroura";184471
"Moenkhausia.grandisquamis";91603
"Moenkhausia.intermedia";194599
"Moenkhausia.jamesi";76720
"Moenkhausia.lata";39097
"Moenkhausia.lepidura";314956
"Moenkhausia.naponis";76418
"Moenkhausia.oligolepis";309341
"Moenkhausia.sanctaefilomenae";120550
"Moenkhausia.simulata";44836
"Monotocheirodon.pearsoni";14532
"Myleus.setiger";77637
"Mylossoma.duriventre";183893
"Nannostomus.digrammus";71840
"Nannostomus.trifasciatus";194994
"Nannostomus.unifasciatus";74228
"Ochmacanthus.reinhardtii";164066
"Odontostilbe.dierythrura";54504
"Odontostilbe.ecuadorensis";51707
"Odontostilbe.fugitiva";201404
"Odontostilbe.roloffi";15107
"Oligosarcus.schindleri";3999
"Opsodoras.boulengeri";47517
"Orestias.agassizii";11225
"Orestias.empyraeus";51631
"Ossancora.asterophysa";94800
"Ossancora.fimbriata";57794
"Otocinclus.mura";181586
"Otocinclus.vestitus";365573
"Oxybrycon.parvulus";59369
"Oxydoras.niger";136530
"Panaqolus.albomaculatus";40046
"Panaqolus.gnomus";22532
"Panaqolus.nocturnus";21924
"Paragoniates.alburnus";158905
"Parapteronotus.hasemani";58385
"Pariolius.armillatus";103174
"Parodon.buckleyi";112060
"Parodon.pongoensis";187175
"Parotocinclus.amazonensis";110124
"Peckoltia.relictum";9588
"Phenacogaster.pectinatus";233786
"Phenacorhamdia.boliviana";107984
"Physopyxis.lyra";139639
"Piabucus.melanostoma";100062
"Piaractus.brachypomus";117280
"Pimelodella.boliviana";129210
"Pimelodella.conquetaensis";1096
"Pimelodella.cristata";205478
"Pimelodella.gracilis";183621
"Pimelodella.hasemani";106721
"Pimelodella.howesi";125705
"Pimelodella.roccae";26232
"Pimelodella.serrata";72207
"Pimelodella.steindachneri";525600
"Pimelodus.blochii";112293
"Pimelodus.maculatus";183357
"Pimelodus.ornatus";140226
"Pimelodus.pictus";154105
"Poptella.compressa";134464
"Potamorhina.latior";151917
"Potamorrhaphis.eigenmanni";130265
"Potamotrygon.falkneri";40294
"Prionobrama.filigera";181527
"Prochilodus.nigricans";210806
"Prochilodus.rubrotaeniatus";74217
"Prodontocharax.alleni";101069
"Prodontocharax.melanotus";57713
"Psectrogaster.amazonica";206429
"Psectrogaster.curviventris";81428
"Pseudanos.trimaculatus";152767
"Pseudobunocephalus.amazonicus";95091
"Pseudobunocephalus.bifidus";88084
"Pseudohemiodon.lamina";35246
"Pseudopimelodus.bufonius";53236
"Pseudopimelodus.pulcher";56415
"Pseudoplatystoma.fasciatum";131859
"Pseudoplatystoma.tigrinum";110682
"Pterobunocephalus.depressus";134492
"Pterolebias.longipinnis";62218
"Pterygoplichthys.lituratus";83792
"Pygocentrus.nattereri";178764
"Rhamdia.quelen";181682
"Rhamphichthys.rostratus";81171
"Rhaphiodon.vulpinus";123934
"Rineloricaria.lanceolata";254390
"Rineloricaria.morrowi";127413
"Roeboides.affinis";167475
"Roestes.molossus";107542
"Salminus.hilarii";160123
"Satanoperca.jurupari";178786
"Satanoperca.pappaterra";118711
"Schizodon.fasciatus";166520
"Scoloplax.dicra";83347
"Scopaeocharax.atopodus";5799
"Scopaeocharax.rhinodus";39487
"Serrapinnus.heterodon";65601
"Serrapinnus.micropterus";58831
"Serrasalmus.compressus";67552
"Serrasalmus.eigenmanni";118065
"Serrasalmus.hollandi";57670
"Serrasalmus.maculatus";114466
"Serrasalmus.rhombeus";196550
"Serrasalmus.spilopleura";103477
"Sorubim.lima";175387
"Sorubimichthys.planiceps";134154
"Spatuloricaria.caquetae";3685
"Spatuloricaria.evansii";162322
"Spatuloricaria.puganensis";32106
"Steindachnerina.dobula";157298
"Steindachnerina.guentheri";240453
"Steindachnerina.hypostoma";171621
"Steindachnerina.planiventris";23499
"Steindachnerina.quasimodoi";81053
"Sternarchogiton.porcinum";36444
"Sternarchogiton.preto";20697
"Sternarchorhynchus.curvirostris";45967
"Sternarchorhynchus.mormyrus";33362
"Stethaprion.crenatum";76125
"Sturisoma.lyra";76103
"Synbranchus.madeirae";151184
"Tahuantinsuyoa.chipi";2961
"Tatia.aulopygia";130109
"Tatia.intermedia";198577
"Tetragonopterus.argenteus";272895
"Tetragonopterus.chalceus";200647
"Thoracocharax.stellatus";200765
"Trachelyopterus.galeatus";173573
"Trachydoras.steindachneri";61025
"Trichomycterus.aguarague";8562
"Trichomycterus.barbouri";62564
"Trichomycterus.fassli";18508
"Trichomycterus.knerii";7024
"Trichomycterus.megantoni";3280
"Trichomycterus.rivulatus";326592
"Trichomycterus.tiraquae";8943
"Triportheus.albus";149874
"Triportheus.angulatus";192569
"Tympanopleura.atronasus";120654
"Tyttocharax.tambopatensis";84920
"Utiaritichthys.sennaebragai";48630
"Vandellia.cirrhosa";127007
"Xenurobrycon.heterodon";135065
"Xenurobrycon.polyancistrus";192658
"Xyliphius.lepturus";90283
"Zungaro.zungaro";132724
